"","annee","moyenne_pib_per_capita","moyenne_inflation","moyenne_taux_chomage","ecart_type_pib_per_capita","ecart_type_inflation","ecart_type_taux_chomage"
"1",2013,20.8072280127089,4.53207796619972,62.8155810201424,3.95335818037922,0.790062877451488,13.1457439966025
"2",2014,24.9337155057583,4.43476572685177,66.7375894845463,3.13676897997309,3.38082101894877,37.5088130295172
"3",2015,22.6010180904996,4.56860236020293,58.001421609486,4.76851127505055,4.08576158780884,27.572848437463
"4",2016,17.7947686542757,5.86671987856971,20.8243370766286,4.13898446301396,0.522631129056067,27.5329467329999
"5",2017,20.773267543409,5.39378690934973,48.567762392282,6.31455006270117,3.95236282449942,33.4033442970015
"6",2018,26.718653960852,4.41998732934007,62.5666511620511,3.20954782700683,2.79752236890602,8.80065581005318
"7",2019,19.028843913693,6.36939603748033,36.748308896902,6.85866359217222,1.43281800059519,32.8257357531634
"8",2020,20.5893422896042,4.1531986205955,64.2766356146894,5.11926640275043,2.00325314598145,30.4402468709556
"9",2021,19.2488596809562,3.6391096188454,53.8724195625982,5.11400415631956,2.09482897926625,26.2731530076006
"10",2022,16.0621403111145,2.93772601737874,46.6918992780265,4.51831797667798,2.63516997876799,45.75899352817
